Article Number,Dates,Fatality Range,Countries
21," Tuesday,  last,  a,  Tuesday,  week,  day",[ 19 to  500]," Saudi,  W,  Saudi,  Russia,  the,  States,  Saudi,  Saudi,  U, N,  Saudi,  Russia,  Ukraine,  Saudi,  The,  of,  Arabia,  Illinois,  Saudi,  Russia,  Ukraine,  Arabia, ASHINGTON,  Arabia,  United, s,  Arabia,  Arabia, .S., .J,  Arabia,  Arabia,  Kingdom,  Saudi,  Arabia"
22," everyday,  the,  1990,  2003,  the,  year, ert,  early, s,  past",[ 20 to  about]," England,  the,  States, s,  United, ighs"
23," November,  next,  This,  weekend,  2022,  year,  past",[ 11 to  two],"Al,  Nevada, Ga,  Wisconsin,  North,  Florida, a,  Carolina, ville"
24," 96,  middle,  Tuesday,  96,  1966,  2009,  83,  seven,  years,  18, 19,  1946,  14,  2009, 19,  age, -decade, 44, 48",[ 11 to  millions]," Hollywood,  Los,  New,  London,  Angeles,  York"
25," this,  the,  few,  this,  35,  Today,  Oct,  week,  next,  days,  month,  years, . 1",[ 10 to  least]," Ukraine,  Ukraine,  The,  States,  Germany,  Russia,  Ukraine,  the,  States,  Ukraine,  Finland,  Ukraine,  South,  Cambodia,  Congo,  Rwanda,  Mexico,  Colombia,  Peru,  Ukraine,  Cyprus,  Cyprus,  U, S,  Greece,  Turkey,  Cyprus,  the,  Union,  Russia,  Turkey, es,  United, es,  United,  Korea, ., .,  Soviet, priot"
26," Christmas,  Christmas,  the,  century,  the, as, olonial,  19th,  1950s",[ 24 to  500]," River,  Bronx,  Lima,  Peru,  New,  Williams,  Brooklyn,  Lima, uv, dale,  York, burg"
27," some,  years,  thousands,  years,  early,  at,  10,  early,  1986,  decades,  generations,  Monday,  40,  of,  ago,  November,  least,  years,  2024",[ 15 to  one]," Greece,  NEW,  Greece,  Athens,  Greece,  Delaware,  New,  YORK, ades, ge, landris"
28," 30,  ago,  the,  1993,  A,  of,  later,  Thursday,  The,  day,  a,  months,  1961,  the,  2019,  Friday,  the,  the,  year,  years,  1990s,  couple,  years,  next,  few,  apart,  years,  day,  worst, GE, ones",[ 26 to  two]," Kansas,  New,  Colorado,  York, th, ULE, ID, OBULE"
29," that,  Five,  later,  1910,  day,  years",[ 27 to  two]," East,  Texas,  Tor,  Co,  Austin,  Mexico,  Austin,  Austin,  Mexico,  Texas,  Mexico,  the,  States,  Mexico, z, z,  Austin, arrón, achis, ez, xico, ustín, reón, ahuila, s,  United"
30," Last,  2020,  Monday,  Tuesday,  the,  Jan, ,,  Dec., ,,  month, long,  days, . 6,  2021,  29,  2020",[ 28 to  one]," Washington,  Washington, ., ."
31," This,  39,  2020,  June,  Aug,  Friday, .,  spring, -year-old,  3, . 8",[ 100 to  two]," W,  Florida,  Washington, b, hes, rutiny, ASHINGTON"
32," A,  later,  1980,  nearly,  decade,  decade, s,  a",[ 30 to  thousands]," Ky,  Russia,  Ky,  London,  Dresden,  Germany,  Tokyo,  Pyongyang,  Vietnam,  H,  Iran,  Iraq, iv, iv, s, anoi"
33," this,  April,  months,  May,  four,  Wednesday,  Monday,  the,  year,  recent,  24,  days,  mid,  Labor, um,  week,  days,  next,  months,  business, -June,  Day","[ 31 to ,000]"," C,  N,  Albany,  New,  Staten,  New,  Staten,  Staten,  Albany,  Cast, ASTLETON-ON-HUDSON, .Y.,  York,  Island,  York,  Island,  Island, leton-on-Hudson"
34," Tuesday,  Years,  later",[ 14 to  three]," W,  Texas, us, ASHINGTON"
35," Tuesday,  two,  the,  2,  weeks,  40,  Tuesday,  Friday,  This,  Tuesday,  Friday,  the,  week,  Tuesday,  Tuesday,  Friday, ains,  days,  past,  1/2, ains, -year,  week,  final",[ 33 to  500]," U,  Washington, she, .K."
36," Tuesday,  last,  just,  day,  Tuesday,  week,  a",[ 34 to  500]," Saudi,  Saudi,  Russia,  U, S,  Saudi,  U,  Saudi, N,  Saudi,  Russia,  Ukraine,  Saudi,  The,  of,  Arabia,  Illinois,  Saudi,  Russia,  Ukraine,  Saudi,  Arabia,  Arabia, ., .,  Arabia, .S.,  Arabia, .J,  Arabia,  Arabia,  Kingdom,  Saudi,  Arabia,  Arabia"
37," ages,  to,  late,  year,  5,  11,  3, year,  six,  ago,  a,  ago,  years,  2015,  2013,  66,  5,  11,  last,  to, -, -old,  years,  decade",[ 35 to  than]," Marin,  SAN,  Calif,  California,  L,  Mod,  Marin,  Marin,  San,  Fairfax,  Marin,  the,  County,  Mar,  California,  Marin,  San,  County, a,  RAFAEL, ., assen, oc,  County,  County,  Rafael,  Marin, ins,  Countys,  Rafael"
38," more,  5,  Sunday,  May,  over,  years,  than, ,000 years,  5,000",[ 25 to  one]," China,  China,  Gan,  Sich,  Xin,  Taiwan,  Gan,  China,  the,  States,  Russia,  India,  China,  China,  China, as, ian, pings, iv, zi, uan province, jiang, zi, ze, as, as,  United, ys, as"
39," Tuesday,  a,  a,  Monday,  Tuesday,  Tuesday,  the,  Monday,  Monday,  day,  day,  day",[ 19 to ows]," Ukraine,  KY,  Ukraine,  Russia,  Iran,  Ukraine,  Russia,  Ukraine,  Russia,  Crimea,  Ukraine,  Ukraine,  Z,  Russia, IV, aporizhzhia, ias"
40," 2,  seasons,  July,  These,  1/2,  days",[ 38 to three], Dallas
41," Monday,  February,  Within,  month,  July,  the,  month,  Tuesday,  the,  of,  year, end,  the,  up,  one,  Late,  year, ge,  a,  2020,  next,  end,  2021, -,  spring,  to,  year,  last",[ 206 to 000]," Washington,  Stevens,  Spokane,  Washington,  Oregon,  County"
42," Tuesday,  last,  23,  Tuesday,  41,  18,  1999,  2014,  last,  Sept,  Tuesday,  Sept,  30,  Friday,  Tuesday,  month,  years,  month, . 19, . 19,  days",[ 40 to  500]," Baltimore,  Baltimore,  Baltimore,  City"
43," May,  May,  Tuesday,  seven,  1953,  today,  Sept,  two,  later,  nearly,  years,  900,  10,  a,  months,  16,  February,  last,  6,  6,  decades, . 8,  days,  1,000,  years, 66,  few,  months,  1952,  month",[ 250 to  than]," L,  Britain,  Britain,  Canterbury,  Canterbury,  London, ONDON"
44," decades,  Tuesday,  Tuesday,  2020,  years,  1982,  2000,  2006,  to, long",[ 42 to  two]," Israel,  Lebanon,  J,  Lebanon,  Israel,  Lebanon,  Lebanon,  Israel,  Lebanon,  Ukraine,  Lebanon,  the,  States,  Israel,  Israel,  Lebanon,  Washington,  Israel,  the,  States,  the,  States,  Lebanon,  Israel,  Lebanon,  Israel,  Lebanon,  Iran, ERUSALEM Israel, raels, raels,  United,  United,  United"
45," 2015,  2017,  last,  last,  recent,  this,  to,  year,  year,  years,  month",[ 25 to  millions]," SAN,  New,  City,  FRANCISCO,  York"
46," Tuesday,  Tuesday,  Tod,  the, ays",[ 10 to  to],"am, ys"
47," Tuesday,  Monday,  winter,  Tuesday,  the,  Monday,  Tuesday,  Tuesday,  the,  days,  Monday,  Monday,  this,  day,  previous,  week",[ 100 to  than]," Ukraine,  KY,  Ukraine,  Ukraine,  Russia,  Crimea,  Z,  Lv,  Ukraine,  Ukraine,  Prague,  Rome,  Vienna,  Warsaw,  Poland,  Ukraine,  Ukraine, IV,  Ukraine, aporizhzhia, iv"
48," April,  April,  July,  the,  of,  year,  the, th,  end,  the,  summer",[ 37 to  one]," BR,  Ok,  Oklahoma,  Tulsa,  Tulsa,  Richmond,  Virginia,  Boston,  Colorado,  Raleigh,  North,  D,  Pennsylvania, lan, OKEN ARROW, la.,  Springs,  Carolina, oylestown"
49," Four,  years",[ 47 to  one]," MER,  Pa,  Pittsburgh,  Pennsylvania,  Israel, os, ION STATION, ."
50," last,  2020,  the,  several,  Jan., ,,  Jan,  two,  earlier,  last,  Dec, ,,  Jan,  Jan.,  week,  next,  weeks,  6,  2021, . 6,  weeks,  week, . 19,  2020, . 6,  6",[ 48 to  five]," Washington,  Dun,  Florida,  Tampa,  Washington,  DC,  Florida,  Washington, nellon"
51," Just,  month,  N,  Just,  months,  2012,  2014,  a,  a, ovembers,  10,  ago, ade,  year",[ 10 to  three]," New,  P,  N,  New,  New,  Long,  P,  California,  New,  Long,  New,  New,  New,  York, os, OUGHKEEPSIE, .Y.,  York,  Yorks,  Island, oughkeepsie,  York,  Island, ys,  York,  York,  York"
52," months,  Monday,  months,  Saturday,  Monday,  Monday",[ 14 to alation]," Russia,  M,  Russia,  Ukraine,  Ky,  Lv,  Russia,  Ukraine,  Ukraine,  Crimea,  Russia, OSCOW, iv, iv"
53," Four,  years",[ 500 to  one]," Pennsylvania,  MER,  Pa,  Pittsburgh,  Pennsylvania, ION STATION, ."
54," the,  These,  55,  recent,  recent,  the,  50,  1980s,  days,  months,  years,  last,  years",[ 4 to .6 million]," Col,  Los,  Col,  California,  the,  Empire,  New,  New,  The,  Empire,  Los, iply, ton,  Angeles, ton,  Inland,  York,  Jersey,  Inland,  Angeles"
55," just,  earlier,  last,  Saturday,  Monday,  days,  week",[ 29 to  two]," Ukraine,  V,  Ukraine,  Ve,  Ukraine,  Kher,  Ukraine,  Crimea,  K,  Russia,  Ukraine,  Crimea,  K,  Ukraine,  Ukraine,  Ve, ELYKA OLEKSANDRIVKA, lyka Oleksandrivka, son, herson, herson, lyka Oleksandrivka"
56," Monday,  the,  days,  weeks,  48,  Feb,  early, . 24",[ 14 to  one]," Russia,  Crimea,  KY,  Ukraine,  Ukraine,  Ky,  Russia,  Russia,  Russia,  Ukraine,  Russia,  Ukraine,  Ky,  Kh,  Russia,  Ukraine, IV, iv, iv, arkiv"
57,¼,[ 2 to  A3]," New, ), WS,  York"
58," decades,  this,  the,  two,  Last,  2017,  Monday,  2017,  2017,  2005,  months,  year,  past,  weeks,  week",[ 12 to  thousands]," North,  North,  North,  Japan,  North,  North,  Seoul,  North,  South,  Japan,  the,  States,  the,  States,  North,  South,  North,  South,  North,  North,  the,  States,  North,  Pyongyang,  North,  Korea,  Korea,  Korea,  Korea,  Korea,  Korea,  United,  United,  Korea,  Korea,  Korea,  Korea,  Korea,  Korea,  United,  Korea,  Korea"
59," More,  two,  ago,  four,  June,  1978,  77,  81,  the,  weeks,  60,  the,  decade,  than,  decades,  decades,  coming,  last",[ 126 to  one]," FORT,  Fla,  Fort,  Florida,  Louisville,  Ky,  Florida,  Florida,  North,  MYERS, .,  Myers, .,,  Carolina"
60," These,  seasons,  this,  this,  Tuesday,  22,  1993,  2004,  2004,  to,  1993,  the,  season,  This,  the,  Days,  year,  season,  seasons, days,  regular,  year,  years",[ 1 to s], Bronx
61," the,  of,  months,  four,  later,  recent,  the,  1960,  fall,  2018, m,  years,  weeks,  early, s",[ 500 to  three]," California,  Marth,  New,  City,  Arizona,  Florida,  Texas,  Texas,  Florida,  Arizona,  Venezuela, as Vineyard,  York"
62," everyday,  the,  1990,  2003,  the,  year, ert,  early, s,  past",[ 50 to  about]," England,  the,  States, s,  United, ighs"
63," Friday,  the,  two,  years,  the,  two,  today,  February,  20,  the,  September,  the,  before,  last,  past, -plus,  first,  months,  2020,  years,  1960s,  year, emic,  year",[ 22 to .2]," U,  U.S,  U, .S., ., .S."
64," Jan., ,,  decades,  his,  years,  20,  6,  2021,  many,  years",[ 500 to  two]," Ohio,  Ohio, Ga,  China,  China,  China,  China,  China,  China,  Ukraine,  Taiwan,  Taiwan,  Russia,  Ukraine,  Washington,  Ohio,  Washington,  Young, .,, ans, stown"
65," the,  year,  36,  August,  April,  past",[ 500 to  thousands]," the,  States,  the,  States,  the,  States,  the,  States,  United,  United, ys,  United,  United"
66," September,  a,  The,  month,  Sept, ,,  2021,  day,  next, . 15,  2021",[ 500 to  two]," Paris,  San, Japan,  the,  States,  Francisco,  Barbados, et,  United"
67," 2015,  days,  18,  2019,  This,  this,  March,  25,  spring,  fall",[ 500 to  two]," Lancaster,  Pennsylvania,  Hollywood,  Pennsylvania,  Miami,  Los,  Los,  Angeles,  Angeles"
68," 53,  Friday,  June,  2019,  2017",[ 500 to  one]," Philippines, OS, ES"
69," Monday,  68,  67,  68,  the,  2008,  2020,  2006,  2014,  2008,  2009,  1983,  Monday,  1980s",[ 2 to  two]," St,  Washington,  Britain,  the,  States, es, . Louis,  United"
70," millions,  years,  today,  tens,  millions,  years,  last,  419, 359,  years,  the,  the,  this,  the,  Sil,  A,  ago,  425,  the,  Silur, ils,  of,  ago,  of,  of,  month, -,  million,  ago,  age,  Devonian,  era, ed, ms, ath,  Silurian, urian, athostome,  decade, -million-year-old,  late, ian period, ed",[ 500 to  one]," China,  Sweden,  China, en, omes"
71," the,  decade,  an,  day,  past,  past, hattans,  average,  this,  July",[ 10 to  up]," NEW,  New,  City,  Manhattan,  New,  City,  Manhattan,  the,  States,  YORK,  York, s,  York,  United"
72," Sundays,  Monday,  Sunday,  the,  Monday,  season",[ 500 to  one]," London, ra"
73," early,  the,  a,  1909,  2004,  season, 91,  September,  2008,  the,  annual,  Tuesday,  his,  year,  three,  full,  1969,  This,  1939,  decades,  August, th,  season,  season, mans, -,  2014,  first,  consecutive,  seasons,  year",[ 1 to 36],N/A
74," 15th,  16,  Renaissance,  The,  after,  two, - and, th-century,  century,  1485,  years",[ 500 to  seven]," NEW,  England,  London,  England,  England,  Rome,  YORK, worth, or"
75," the,  century,  1915,  1905,  the,  decade,  2017,  1935,  past,  past",[ 500 to  two],N/A
76," nearly,  years,  around,  years,  months,  20,  later,  10,  old",[ 500 to  dozens]," CONC,  N,  North,  Atlanta,  ATL,  Germany,  Georgia,  W,  Germany,  Atlanta,  Stone,  the,  States, ORD, .C.,  Carolina, ty, iesbaden, .,  Mountain,  United"
77, 47,[ 500 to  One]," W,  Germany,  Russia,  Euro,  Germany,  Wil,  Germany,  Euro,  Russia,  Wil, ve, pes, undrum, ILHELMSHAVEN, pes, pes, helmshaven, pes, hel"
78," Monday,  Monday,  late,  month,  the,  two,  Monday,  2005,  last,  Monday,  Monday,  last,  next,  months,  month",[ 1 to  two]," Ukraine,  Ukraine,  Ukraine,  Russia,  Ukraine,  Ukraine,  The,  States,  Washington,  Norway,  Ukraine,  U,  Ukraine,  Ukraine,  Russia,  United, .S., es, hny"
79," this,  August,  two, day,  39,  2017,  2021,  a,  year,  37,  This,  past, -,  single,  year","[ 1 to ,000]"," Nashville,  Tennessee,  Berlin,  Berlin, oo"
80," Monday,  the,  days,  weeks,  48,  Feb,  early, . 24",[ 14 to  least]," KY,  Ukraine,  Ukraine,  Ky,  Russia,  Russia,  Ukraine,  Russia,  Ukraine,  Ky,  Kh,  Russia,  U,  Ukraine,  New,  India, IV, iv, iv, arkiv, .S., as,  Delhi"
81," Monday,  last, 20,  month,  22",[ 500 to  two]," India,  China,  Russia,  NEW,  China,  Russia,  Ukraine,  New,  India,  Ukraine,  Ukraine,  China,  India,  Ukraine,  Moscow,  Uzbek,  China,  Russia,  New,  United, US,  India,  China,  Kyiv,  Ukraine,  New, India,  Uzbek,  Delhi, India,  China,  Moscow, Russia,  Ukraine,  Russia,  India,  Ukraine, jib,  DELHI India, as,  Delhi, istan,  York,  States,  Ukraine,  Delhi, istan"
82," Halloween,  days,  Monday,  nearly,  month,  Oct,  the,  day,  Sept,  last,  Nov.,  Last,  Monday,  Oct, ,,  Two,  ago,  Monday,  a, . 31,  same, . 23,  month,  23,  week, . 31,  Halloween,  weeks",[ 1 to .10]," U,  L, .K., she, ONDON"
83," Sept,  two,  2020, . 30, emic, -year, emic",[ 109 to  million]," U,  New,  City, .S.,  York"
84," More,  two,  ago,  four,  June,  1978,  77,  81,  the,  weeks,  60,  the,  decade,  than,  decades,  decades,  coming,  past",[ 126 to  one]," FOR,  Fla,  Fort,  Florida,  Louisville,  Kentucky,  Florida,  Florida,  North, T MYERS, .,  Myers,  Carolina"
85," 2022,  Sunday,  29,  18,  next,  next,  2022,  season,  this,  season,  year,  winter",[ 101 to  two]," NEW, heaval,  YORK"
86," Winter,  Monday,  winter,  Monday,  years,  past,  mid,  Monday,  the,  winter,  last,  Monday,  Monday,  the,  the,  era, oms,  years, winter,  cold,  months,  month,  winter,  Soviet",[ 11 to  four]," Russia,  Ukraine,  Russia,  Russia,  Ukraine,  Ukraine,  Russia,  Kry,  Lv,  Pol,  Sum,  Kh,  Kh,  Ky,  Ukraine, es, es, vyi Rih, iv, tava, y, arkiv, arkiv, iv, es"
87," 23,  23,  last,  the,  before,  second,  33,  Tuesday,  that,  day,  Wednesday,  Saturday,  Monday,  Monday,  less,  a,  57,  last, -Month-Old, -month-old,  week,  day,  her,  birthday,  same,  than,  year,  week","[ 1 to ,000]"," Brooklyn,  NEW,  Brooklyn,  Brooklyn,  Brooklyn,  Brooklyn,  Browns,  YORK, ville, ahs"
88," the,  few,  the,  Monday,  Monday,  months,  many,  Just,  day,  summer,  Monday,  past,  months,  spring,  weeks,  a,  earlier",[ 14 to  least]," Ky,  KY,  Ukraine,  Ky,  Ukraine,  Ky,  Ukrain,  Ky,  Ky,  Russia, iv, IV, iv, iv, es, es, iv, iv"
89," Four,  years",[ 500 to  one]," MER,  Pa,  Pittsburgh,  Pennsylvania,  Israel, ION STATION, ."
90," Monday,  Tuesday,  Monday, 2022",[ 500 to  88]," W,  Ukraine,  the,  States,  Ukraine,  Russia,  Ukraine,  the,  States,  Canada,  Japan,  France,  Germany,  Italy,  the,  Kingdom,  Ukraine,  Ukraine,  U,  Ukraine,  Russia,  New,  United, US,  Kyiv,  Ukraine,  Canada,  Japan,  Italy,  European,  France,  Great,  Germany,  United,  Russia,  Ukraine,  Ukraine,  United,  New, ins, ASHINGTON,  United,  United,  United, es, .S.,  York,  States,  Ukraine,  Union,  Britain, ba, tro,  States,  States,  York"
91," March,  Tuesday,  her,  day,  A,  June,  second,  week",[ 500 to  one]," W,  Alabama, ASHINGTON"
92," Wednesday,  15,  ago,  last,  more,  four,  four years,  daily,  2020,  Jan, ,,  nearly,  decades,  years,  week,  than,  decades, . 6,  2021, ens,  five",[ 500 to  three]," W,  Delaware,  Puerto, ASHINGTON,  Rico"
93," this,  last,  two,  years,  summer,  week,  years",[ 500 to  three]," BLACK,  England,  Dar,  Manchester, bled, BURN, ys, wen"
94," Monday,  February,  the,  days,  recent,  May,  early,  months","[ 14 to ,000]"," Ukraine,  Ky,  Ky,  Ky,  Ukraine,  D,  D,  Ukraine,  Kry,  Lv,  Lv, ows, iv, iv, iv, odymyr, enskyys, neprotrovsk, neprotrovsk, nichenko, enskyys, vvi Rih, iv, iv, y, ovyi"
95," months,  Monday,  months,  Saturdays,  Mondays,  Mondays,  Mondays",[ 100 to  one]," Ukraine,  Ukraine,  Ukraine,  Russia,  Ky,  Lv,  Ukraine,  Crimea,  Russia,  Che, iv, iv, chnya, enskyy"
96," months,  Monday,  months,  Saturdays,  Mondays,  Mondays",[ 14 to  scores]," Ukraine,  M,  Ukraine,  Ky,  Lv,  Ukraine,  Ukraine,  Crimea,  Russia,  Ukraine,  Che, OSCOW, iv, iv, chnya"
97," just,  earlier,  last,  Saturday,  Monday,  days,  week",[ 20 to  two]," V,  Ukraine,  Ve,  Ukraine,  Kher,  Ukraine,  Crimea,  K,  U,  Russia,  Ukraine,  Crimea,  K,  Ukraine,  Ve, ELYKA OLEKSANDRIVKA, lyka Oleksandrivka, son, herson, .S., herson, lyka Oleksandrivka"
98," Monday,  68,  67,  68,  the,  2008,  2020,  2006,  2014,  2008,  2009,  1983,  2007,  1980s",[ 500 to  two]," St,  Washington,  Britain,  the,  States, . Louis,  United"
99," 1980,  These,  55,  recent,  recent,  the,  50, s,  days,  months,  years,  last,  years",[ 4 to .6 million]," COL,  Calif,  Col,  Los,  Lem,  Col,  California,  the,  Empire,  Lem,  New,  New,  The,  Empire,  Los,  Los,  Long, iply, TON, ., ton,  Angeles, os, ton,  Inland, os,  York,  Jersey,  Inland,  Angeles,  Angeles,  Beach"
100," the,  days,  Monday,  winter,  the,  Tuesday,  Mondays,  early,  weekend",[ 11 to  thousands]," Ukraine,  KY,  Ukraine,  U, S,  India,  China,  Moscow,  Lv,  My,  Kh,  Ukraine,  Ky,  Ukraine,  Belarus,  Russia,  Mold, IV, ows, ., ., iv, kolaiv, arkiv, iv, cows, ova"
101," October,  this,  Halloween,  100,  week,  a,  of,  days,  Sunday,  Wednesday,  Friday,  1994,  1910,  month, -year,  stretch,  six, s",[ 500 to  two]," New, es,  Orleans"
102," last,  Thursday,  June,  three, day,  summer, -",[ 100 to dozen]," New,  L,  N,  Wayne, 's,  New,  Wayne,  Rochester,  Albany,  New,  New,  New,  York, YONS, .Y.,  County,  York,  County, ., .,  York,  York,  York"
103," the,  week,  Monday,  Friday,  that,  Saturday,  nearly,  years,  last,  day,  two",[ 101 to llll]," the,  States, ISH,  United, '"
104," this,  weekend",[ 102 to  500],N/A
105," Sept.,  64,  1990,  16,  1975,  1969,  1982,  1910,  28, ul",[ 103 to  64], Manhattan
106," this,  July,  this,  the,  of,  the,  days,  2019,  that,  today,  2022,  last,  September,  1996,  the,  year,  2020,  March,  June,  September,  Sept,  three,  this,  weekend,  year,  end,  December,  prepandemic,  of,  year, emic,  month,  pandemic,  of, . 30,  days,  year","[ 104 to ,350]", Hollywood
107," 2021,  2022,  Last, 's,  Sunday,  this,  Last, .,  year,  season,  year",[ 105 to  two]," Ing,  Calif, lewood"
108," several,  Saturday,  41,  weeks",[ 106 to  two]," Utah,  Utah,  Beaver,  Utah,  Colorado,  Utah,  Utah,  County"
109," 2022,  Sunday,  season",[ 101 to  two]," San,  Diego"
110," a,  Monday,  the,  day,  its,  week,  Sept,  22, year, old,  recent,  years,  Generation,  18th,  third, . 16, -, -,  years",[ 108 to  dozens]," Iran,  TE,  Iran,  Tehran,  Shir,  the,  Republic,  Iran,  the,  Republic,  Iran,  Iran,  the,  Republic, h, HRAN, araf, az,  Islamic, 's,  Islamic,  Islamic"
111," 68,  Sept.,  68,  decades,  2008,  1996,  March,  1990,  June, ,,  30,  23,  1954",[ 109 to  500]," Hill,  S,  New,  City,  France,  South,  South,  South,  South,  City, .D., iyesá,  York,  Dakota,  Dakota,  Dakota,  Dakota, unkpapa"
112," this,  a,  31,  the,  years,  a,  years,  a,  season,  season,  decade,  seasons,  championship,  dozen,  full",[ 1 to three]," ST,  California, . LOUIS"
113,"Every,  the,  few,  recent,  a,  days,  Friday,  28,  late,  Sept,  five,  days,  day,  past,  days,  weeks,  few,  September, . 16,  more",[ 111 to  500]," B,  Ukraine,  Kh,  Ukraine,  Bor,  K,  K,  K,  K, or, OROVA, arkiv, ova, upiansk, skil, upiansk, upiansk, skil, upiansk"
